"","client","signaleringid","indicatorid","waarde","argument","naam","gewicht","eindresultaat","succes","toelichting","Datasource1","Interface1","Time","Year","Quarter","Month","MonthName","Week","WeekDay","DayMonth","DayYear","TimeJS","YearWeek","eindargumentatie","MS","Oncology","CV","PAH","signalering_eindresultaat"
"8220","",918598,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-10 15:32:31,2014,3,8,"August","32","Sunday",10,222,1407684751.477,"2014.32","Other","","","","Damage",108
"8222","",918631,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-10 18:29:41,2014,3,8,"August","32","Sunday",10,222,1407695381.173,"2014.32","CSR","","","","Damage",106
"8223","",918759,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-11 11:55:03,2014,3,8,"August","32","Monday",11,223,1407758103.89,"2014.32","CSR","","","","Damage",1
"8224","",918807,505,100,"Outsource","CRO1",1,1,"NULL","NULL","claim_history","RServe interface",2014-08-11 13:41:00,2014,3,8,"August","32","Monday",11,223,1407764460.96,"2014.32","CSR","","","","Damage",1
"8226","",918836,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-11 14:19:46,2014,3,8,"August","32","Monday",11,223,1407766786.617,"2014.32","CSR","","","","Damage",3
"8259","",920467,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-11 19:35:56,2014,3,8,"August","32","Monday",11,223,1407785756.713,"2014.32","CSR","","","","Damage",4
"8260","",920609,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-12 11:30:03,2014,3,8,"August","33","Tuesday",12,224,1407843003.767,"2014.33","CSR","","","","Damage",1
"8263","",920616,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-12 11:42:59,2014,3,8,"August","33","Tuesday",12,224,1407843779.767,"2014.33","CSR","","","","Damage",102
"8266","",920643,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-12 12:55:19,2014,3,8,"August","33","Tuesday",12,224,1407848119.813,"2014.33","Other","","","","Damage",6
"8267","",920761,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-12 15:41:13,2014,3,8,"August","33","Tuesday",12,224,1407858073.733,"2014.33","CSR","","","","Damage",1
"8268","",920790,505,100,"In-House","Janssen",1,1,"NULL","NULL","claim_history","RServe interface",2014-08-12 16:40:00,2014,3,8,"August","33","Tuesday",12,224,1407861600.66,"2014.33","Other","","","","Damage",1
"8301","",921866,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-12 17:27:09,2014,3,8,"August","33","Tuesday",12,224,1407864429.41,"2014.33","CSR","","","","Damage",1
"8312","",922295,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-12 21:05:56,2014,3,8,"August","33","Tuesday",12,224,1407877556.18,"2014.33","CSR","","","","Damage",1
"8313","",922303,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-12 21:31:39,2014,3,8,"August","33","Tuesday",12,224,1407879099.68,"2014.33","CSR","","","","Damage",1
"8317","",922328,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-12 23:10:05,2014,3,8,"August","33","Tuesday",12,224,1407885005.36,"2014.33","Submission","","","","Damage",157
"8318","",922331,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-12 23:12:36,2014,3,8,"August","33","Tuesday",12,224,1407885156.373,"2014.33","Other","","","","Damage",1
"8322","",922357,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-13 05:08:32,2014,3,8,"August","33","Wednesday",13,225,1407906512.427,"2014.33","CSR","","","","Damage",161
"8325","",922470,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-13 10:33:28,2014,3,8,"August","33","Wednesday",13,225,1407926008.35,"2014.33","CSR","","","","Damage",4
"8327","",922491,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-13 11:13:59,2014,3,8,"August","33","Wednesday",13,225,1407928439.507,"2014.33","Other","","","","Damage",2
"8332","",922495,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-13 11:19:49,2014,3,8,"August","33","Wednesday",13,225,1407928789.817,"2014.33","CSR","","","","Damage",108
"8334","",922511,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-13 11:47:33,2014,3,8,"August","33","Wednesday",13,225,1407930453.397,"2014.33","CSR","","","","Damage",106
"8336","",922556,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-13 13:17:19,2014,3,8,"August","33","Wednesday",13,225,1407935839.393,"2014.33","CSR","","","","Damage",106
"8339","",922903,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-13 16:07:20,2014,3,8,"August","33","Wednesday",13,225,1407946040.917,"2014.33","CSR","","","","Damage",103
"8342","",922932,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-13 16:45:47,2014,3,8,"August","33","Wednesday",13,225,1407948347.043,"2014.33","CSR","","","","Damage",101
"8375","",923777,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-13 18:59:15,2014,3,8,"August","33","Wednesday",13,225,1407956355.907,"2014.33","CSR","","","","Damage",101
"8377","",923780,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-13 19:03:04,2014,3,8,"August","33","Wednesday",13,225,1407956584.967,"2014.33","CSR","","","","Damage",1
"8381","",923794,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-13 19:59:47,2014,3,8,"August","33","Wednesday",13,225,1407959987.17,"2014.33","CSR","","","","Damage",108
"8382","",923821,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-13 21:35:30,2014,3,8,"August","33","Wednesday",13,225,1407965730.637,"2014.33","CSR","","","","Damage",1
"8387","",923859,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-14 00:45:41,2014,3,8,"August","33","Thursday",14,226,1407977141.143,"2014.33","CSR","","","","Damage",222
"8389","",924085,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-14 12:55:35,2014,3,8,"August","33","Thursday",14,226,1408020935.54,"2014.33","Submission","","","","Damage",101
"8391","",924139,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-14 14:33:35,2014,3,8,"August","33","Thursday",14,226,1408026815.373,"2014.33","CSR","","","","Damage",1
"8404","",924940,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-14 17:31:50,2014,3,8,"August","33","Thursday",14,226,1408037510.55,"2014.33","CSR","","","","Damage",3
"8406","",925006,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-14 20:58:52,2014,3,8,"August","33","Thursday",14,226,1408049932.88,"2014.33","CSR","","","","Damage",2
"8409","",925012,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-14 21:05:13,2014,3,8,"August","33","Thursday",14,226,1408050313.207,"2014.33","CSR","","","","Damage",102
"8411","",925034,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-14 22:29:37,2014,3,8,"August","33","Thursday",14,226,1408055377.067,"2014.33","CSR","","","","Damage",1
"8415","",925065,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-15 08:20:08,2014,3,8,"August","33","Friday",15,227,1408090808.823,"2014.33","CSR","","","","Damage",43
"8416","",925169,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-15 12:54:46,2014,3,8,"August","33","Friday",15,227,1408107286.04,"2014.33","CSR","","","","Damage",1
"8422","",925176,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-15 13:03:04,2014,3,8,"August","33","Friday",15,227,1408107784.227,"2014.33","CSR","","","","Damage",45
"8434","",925960,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-16 12:08:15,2014,3,8,"August","33","Saturday",16,228,1408190895.483,"2014.33","Submission","","","","Damage",107
"8436","",926047,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-16 16:40:10,2014,3,8,"August","33","Saturday",16,228,1408207210.453,"2014.33","CSR","","","","Damage",6
"8440","",926076,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-16 19:26:50,2014,3,8,"August","33","Saturday",16,228,1408217210.457,"2014.33","Other","","","","Damage",38
"8442","",926081,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-16 19:34:47,2014,3,8,"August","33","Saturday",16,228,1408217687.377,"2014.33","DSUR/IDMC","","","","Damage",101
"8445","",926134,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-17 12:19:02,2014,3,8,"August","33","Sunday",17,229,1408277942.287,"2014.33","CSR","","","","Damage",106
"8448","",926179,505,100,"Outsource","CRO1",1,1,"NULL","NULL","claim_history","RServe interface",2014-08-17 16:31:03,2014,3,8,"August","33","Sunday",17,229,1408293063.373,"2014.33","Submission","","","","Damage",101
"8452","",926186,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-17 16:45:35,2014,3,8,"August","33","Sunday",17,229,1408293935.75,"2014.33","Other","","","","Damage",37
"8453","",926193,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-17 17:36:28,2014,3,8,"August","33","Sunday",17,229,1408296988.953,"2014.33","Other","","","","Damage",1
"8456","",926256,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-18 08:26:41,2014,3,8,"August","33","Monday",18,230,1408350401.067,"2014.33","CSR","","","","Damage",131
"8457","",926315,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-18 11:32:58,2014,3,8,"August","33","Monday",18,230,1408361578.833,"2014.33","CSR","","","","Damage",2
"8458","",926315,528,50,"In-House","Janssen",1,1,"NULL","NULL","R_model","Unmapped",2014-08-18 11:32:58,2014,3,8,"August","33","Monday",18,230,1408361578.833,"2014.33","CSR","","","","Damage",2
"8459","",926440,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-18 15:39:50,2014,3,8,"August","33","Monday",18,230,1408376390.667,"2014.33","CSR","","","","Damage",2
"8460","",926440,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-18 15:39:50,2014,3,8,"August","33","Monday",18,230,1408376390.667,"2014.33","CSR","","","","Damage",2
"8461","",926483,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-18 16:39:57,2014,3,8,"August","33","Monday",18,230,1408379997.743,"2014.33","CSR","","","","Damage",2
"8462","",926483,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-18 16:39:57,2014,3,8,"August","33","Monday",18,230,1408379997.743,"2014.33","CSR","","","","Damage",2
"8479","",927734,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-18 20:09:09,2014,3,8,"August","33","Monday",18,230,1408392549.823,"2014.33","CSR","","","","Damage",2
"8480","",927734,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-18 20:09:09,2014,3,8,"August","33","Monday",18,230,1408392549.823,"2014.33","CSR","","","","Damage",2
"8481","",927776,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-18 22:22:21,2014,3,8,"August","33","Monday",18,230,1408400541.217,"2014.33","CSR","","","","Damage",1
"8482","",927829,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-19 10:27:51,2014,3,8,"August","34","Tuesday",19,231,1408444071.61,"2014.34","CSR","","","","Damage",2
"8483","",927829,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-19 10:27:51,2014,3,8,"August","34","Tuesday",19,231,1408444071.61,"2014.34","CSR","","","","Damage",2
"8485","",927836,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-19 10:50:16,2014,3,8,"August","34","Tuesday",19,231,1408445416.157,"2014.34","CSR","","","","Damage",37
"8486","",927836,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-19 10:50:16,2014,3,8,"August","34","Tuesday",19,231,1408445416.157,"2014.34","CSR","","","","Damage",37
"8488","",927856,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-19 11:29:03,2014,3,8,"August","34","Tuesday",19,231,1408447743.033,"2014.34","CSR","","","","Damage",101
"8490","",927875,505,100,"Outsource","CRO1",1,1,"NULL","NULL","R_model","RServe interface",2014-08-19 12:22:00,2014,3,8,"August","34","Tuesday",19,231,1408450920.527,"2014.34","CSR","","","","Damage",2
"8491","",927875,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-19 12:22:00,2014,3,8,"August","34","Tuesday",19,231,1408450920.527,"2014.34","CSR","","","","Damage",2
"8493","",927886,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-19 12:59:00,2014,3,8,"August","34","Tuesday",19,231,1408453140.98,"2014.34","CSR","","","","Damage",37
"8494","",927886,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-19 12:59:00,2014,3,8,"August","34","Tuesday",19,231,1408453140.98,"2014.34","CSR","","","","Damage",37
"8495","",927898,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-19 13:15:10,2014,3,8,"August","34","Tuesday",19,231,1408454110.35,"2014.34","CSR","","","","Damage",1
"8497","",928052,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-19 17:02:33,2014,3,8,"August","34","Tuesday",19,231,1408467753.633,"2014.34","CSR","","","","Damage",107
"8498","",928052,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-19 17:02:33,2014,3,8,"August","34","Tuesday",19,231,1408467753.633,"2014.34","CSR","","","","Damage",107
"8519","",928835,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-19 17:41:39,2014,3,8,"August","34","Tuesday",19,231,1408470099.9,"2014.34","CSR","","","","Damage",3
"8520","",928835,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-19 17:41:39,2014,3,8,"August","34","Tuesday",19,231,1408470099.9,"2014.34","CSR","","","","Damage",3
"8521","",928856,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-19 18:30:30,2014,3,8,"August","34","Tuesday",19,231,1408473030.843,"2014.34","CSR","","","","Damage",1
"8523","",928926,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-19 21:19:03,2014,3,8,"August","34","Tuesday",19,231,1408483143.953,"2014.34","Submission","","","","Damage",3
"8526","",928941,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-19 22:05:21,2014,3,8,"August","34","Tuesday",19,231,1408485921.38,"2014.34","CSR","","","","Damage",28
"8527","",928941,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-19 22:05:21,2014,3,8,"August","34","Tuesday",19,231,1408485921.38,"2014.34","CSR","","","","Damage",28
"8530","",929071,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-20 13:36:29,2014,3,8,"August","34","Wednesday",20,232,1408541789.137,"2014.34","CSR","","","","Damage",102
"8533","",929114,505,100,"In-House","Janssen",1,1,"NULL","NULL","claim_history","RServe interface",2014-08-20 15:47:01,2014,3,8,"August","34","Wednesday",20,232,1408549621.483,"2014.34","CSR","","","","Damage",3
"8534","",929114,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-20 15:47:01,2014,3,8,"August","34","Wednesday",20,232,1408549621.483,"2014.34","CSR","","","","Damage",3
"8542","",929567,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-20 17:55:10,2014,3,8,"August","34","Wednesday",20,232,1408557310.463,"2014.34","CSR","","","","Damage",3
"8543","",929567,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-20 17:55:10,2014,3,8,"August","34","Wednesday",20,232,1408557310.463,"2014.34","CSR","","","","Damage",3
"8545","",929612,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-20 20:54:53,2014,3,8,"August","34","Wednesday",20,232,1408568093.567,"2014.34","CSR","","","","Damage",3
"8546","",929612,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-20 20:54:53,2014,3,8,"August","34","Wednesday",20,232,1408568093.567,"2014.34","CSR","","","","Damage",3
"8547","",929634,505,100,"Outsource","CRO1",1,1,"NULL","NULL","claim_history","RServe interface",2014-08-20 21:50:04,2014,3,8,"August","34","Wednesday",20,232,1408571404.25,"2014.34","CSR","","","","Damage",1
"8548","",929701,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-21 10:09:01,2014,3,8,"August","34","Thursday",21,233,1408615741.117,"2014.34","CSR","","","","Damage",2
"8549","",929701,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-21 10:09:01,2014,3,8,"August","34","Thursday",21,233,1408615741.117,"2014.34","CSR","","","","Damage",2
"8550","",929735,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-21 11:41:17,2014,3,8,"August","34","Thursday",21,233,1408621277.583,"2014.34","CSR","","","","Damage",2
"8551","",929735,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-21 11:41:17,2014,3,8,"August","34","Thursday",21,233,1408621277.583,"2014.34","CSR","","","","Damage",2
"8553","",929784,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-21 13:21:44,2014,3,8,"August","34","Thursday",21,233,1408627304.773,"2014.34","CSR","","","","Damage",107
"8554","",929784,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-21 13:21:44,2014,3,8,"August","34","Thursday",21,233,1408627304.773,"2014.34","CSR","","","","Damage",107
"8558","",929845,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-21 15:07:46,2014,3,8,"August","34","Thursday",21,233,1408633666.923,"2014.34","CSR","","","","Damage",39
"8559","",929845,528,50,"Outsource","CRO3",1,1,"NULL","NULL","R_model","Unmapped",2014-08-21 15:07:46,2014,3,8,"August","34","Thursday",21,233,1408633666.923,"2014.34","CSR","","","","Damage",39
"8566","",930412,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-21 22:13:17,2014,3,8,"August","34","Thursday",21,233,1408659197.34,"2014.34","CSR","","","","Damage",2
"8567","",930412,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-21 22:13:17,2014,3,8,"August","34","Thursday",21,233,1408659197.34,"2014.34","CSR","","","","Damage",2
"8568","",930501,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-22 11:27:42,2014,3,8,"August","34","Friday",22,234,1408706862.237,"2014.34","CSR","","","","Damage",2
"8569","",930501,528,50,"In-House","Janssen",1,1,"NULL","NULL","claim_history","Unmapped",2014-08-22 11:27:42,2014,3,8,"August","34","Friday",22,234,1408706862.237,"2014.34","CSR","","","","Damage",2
"8570","",930572,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-22 13:31:23,2014,3,8,"August","34","Friday",22,234,1408714283.987,"2014.34","CSR","","","","Damage",2
"8571","",930572,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","Unmapped",2014-08-22 13:31:23,2014,3,8,"August","34","Friday",22,234,1408714283.987,"2014.34","CSR","","","","Damage",2
"8572","",930597,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-22 14:14:37,2014,3,8,"August","34","Friday",22,234,1408716877.983,"2014.34","Submission","","","","Damage",1
"8574","",930721,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-22 17:01:09,2014,3,8,"August","34","Friday",22,234,1408726869.317,"2014.34","CSR","","","","Damage",3
"8575","",930721,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-22 17:01:09,2014,3,8,"August","34","Friday",22,234,1408726869.317,"2014.34","CSR","","","","Damage",3
"8585","",931155,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-22 18:41:25,2014,3,8,"August","34","Friday",22,234,1408732885.773,"2014.34","CSR","","","","Damage",72
"8586","",931155,528,50,"Outsource","CRO3",1,1,"NULL","NULL","R_model","Unmapped",2014-08-22 18:41:25,2014,3,8,"August","34","Friday",22,234,1408732885.773,"2014.34","CSR","","","","Damage",72
"8590","",931157,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-22 18:47:04,2014,3,8,"August","34","Friday",22,234,1408733224.727,"2014.34","CSR","","","","Damage",202
"8592","",931235,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-23 10:47:27,2014,3,8,"August","34","Saturday",23,235,1408790847.703,"2014.34","Submission","","","","Damage",2
"8593","",931235,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-23 10:47:27,2014,3,8,"August","34","Saturday",23,235,1408790847.703,"2014.34","Submission","","","","Damage",2
"8597","",931256,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-23 11:57:58,2014,3,8,"August","34","Saturday",23,235,1408795078.923,"2014.34","DSUR/IDMC","","","","Damage",6
"8598","",931256,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-23 11:57:58,2014,3,8,"August","34","Saturday",23,235,1408795078.923,"2014.34","DSUR/IDMC","","","","Damage",6
"8600","",931374,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-23 17:01:16,2014,3,8,"August","34","Saturday",23,235,1408813276.34,"2014.34","CSR","","","","Damage",3
"8602","",931374,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-23 17:01:16,2014,3,8,"August","34","Saturday",23,235,1408813276.34,"2014.34","CSR","","","","Damage",3
"8604","",931428,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-23 21:49:26,2014,3,8,"August","34","Saturday",23,235,1408830566.733,"2014.34","Other","","","","Damage",36
"8607","",931544,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-24 16:49:29,2014,3,8,"August","34","Sunday",24,236,1408898969.523,"2014.34","CSR","","","","Damage",102
"8610","",931651,505,100,"In-House","Janssen",1,1,"NULL","NULL","R_model","RServe interface",2014-08-25 09:48:40,2014,3,8,"August","34","Monday",25,237,1408960120.4,"2014.34","CSR","","","","Damage",71
"8612","",931687,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-25 11:10:30,2014,3,8,"August","34","Monday",25,237,1408965030.747,"2014.34","CSR","","","","Damage",2
"8615","",931710,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-25 12:32:54,2014,3,8,"August","34","Monday",25,237,1408969974.163,"2014.34","CSR","","","","Damage",108
"8616","",931710,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_x","Unmapped",2014-08-25 12:32:54,2014,3,8,"August","34","Monday",25,237,1408969974.163,"2014.34","CSR","","","","Damage",108
"8620","",931795,505,100,"In-House","Janssen",1,1,"NULL","NULL","claim_history","RServe interface",2014-08-25 15:37:52,2014,3,8,"August","34","Monday",25,237,1408981072.42,"2014.34","CSR","","","","Damage",39
"8621","",931795,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-25 15:37:52,2014,3,8,"August","34","Monday",25,237,1408981072.42,"2014.34","CSR","","","","Damage",39
"8622","",931831,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-25 16:42:45,2014,3,8,"August","34","Monday",25,237,1408984965.093,"2014.34","CSR","","","","Damage",1
"8624","",931834,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-25 16:44:26,2014,3,8,"August","34","Monday",25,237,1408985066.297,"2014.34","Other","","","","Damage",101
"8638","",932724,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-25 19:41:07,2014,3,8,"August","34","Monday",25,237,1408995667.927,"2014.34","CSR","","","","Damage",3
"8639","",932724,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-25 19:41:07,2014,3,8,"August","34","Monday",25,237,1408995667.927,"2014.34","CSR","","","","Damage",3
"8642","",932725,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-25 09:56:40,2014,3,8,"August","34","Monday",25,237,1408960600,"2014.34","CSR","","","","Damage",108
"8643","",932725,528,50,"Outsource","CRO3",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-25 09:56:40,2014,3,8,"August","34","Monday",25,237,1408960600,"2014.34","CSR","","","","Damage",108
"8646","",932756,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-25 21:23:46,2014,3,8,"August","34","Monday",25,237,1409001826.097,"2014.34","Submission","","","","Damage",4
"8647","",932756,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-25 21:23:46,2014,3,8,"August","34","Monday",25,237,1409001826.097,"2014.34","Submission","","","","Damage",4
"8650","",932762,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","RServe interface",2014-08-25 21:36:30,2014,3,8,"August","34","Monday",25,237,1409002590.957,"2014.34","CSR","","","","Damage",206
"8651","",932788,505,100,"In-House","Janssen",1,1,"NULL","NULL","datasource_z","RServe interface",2014-08-25 22:52:22,2014,3,8,"August","34","Monday",25,237,1409007142.367,"2014.34","CSR","","","","Damage",2
"8652","",932788,528,50,"In-House","Janssen",1,1,"NULL","NULL","datasource_y","Unmapped",2014-08-25 22:52:22,2014,3,8,"August","34","Monday",25,237,1409007142.367,"2014.34","CSR","","","","Damage",2
"8654","",932806,505,100,"Outsource","CRO1",1,1,"NULL","NULL","datasource_x","RServe interface",2014-08-26 08:49:29,2014,3,8,"August","35","Tuesday",26,238,1409042969.583,"2014.35","CSR","","","","Damage",37
"8655","",932806,528,50,"Outsource","CRO3",1,1,"NULL","NULL","R_model","Unmapped",2014-08-26 08:49:29,2014,3,8,"August","35","Tuesday",26,238,1409042969.583,"2014.35","CSR","","","","Damage",37
